description,instructional,principal
"Officer, Procurement",FALSE,
"Analyst, Procurement",FALSE,
"Spec 2, Comm and Electronics",FALSE,
"Investigator, Prof Std",FALSE,
"Monitor, Personnel",FALSE,
"Spec 2, Central Place",FALSE,
"Printer, Senior",FALSE,
"Spec 3, Equipment Parts",FALSE,
"Tech 1, Electronics",FALSE,
"Spec, Training and Recruitment",FALSE,
"Trds Wker 5, Multi",FALSE,
"Supv, Custodial",FALSE,
Paraprofessional,FALSE,
"Custodian 3, Head",FALSE,
"Clerk, Sr Maint Unit",FALSE,
Secretary 4,FALSE,
Secretary 3,FALSE,
"Tech 2, Micrographics",FALSE,
"Clerk, Control",FALSE,
"Mgr, Program Nutrition",FALSE,
"Nurse, Occup Health",FALSE,
"Mechanic 2, CommFdSvcEq",FALSE,
"Therapist, Cert Occup Asst",FALSE,
"Represent 1, Call Ctr Suprt",FALSE,
"Analyst 2, Accounts Payable",FALSE,
"Analyst, Technology",FALSE,
Building Construction Techgy,FALSE,
"Asst, Procurement",FALSE,
"Mgr 1, SNS",FALSE,
"Represent Sr, Call Ctr Suprt",FALSE,
"Trds Wker 4, Multi",FALSE,
Storekeeper 3,FALSE,
"Clerk 2, Accounting",FALSE,
"Spec 1, Safety",FALSE,
"Mgr, Multi Media Print",FALSE,
"Analyst, Netwk Communic",FALSE,
"Nurse, Lic Practical",FALSE,
"Translator, Bil Int BD Lvl",FALSE,
"Corp, Security & Emergcy Mgt",FALSE,
Board Member,FALSE,
Welder 2,FALSE,
SLH_NatCertif_RID_,FALSE,
"Spec, Unit Acct",FALSE,
"Spec 2, Budget",FALSE,
"Mgr 2, SNS",FALSE,
"Spec 2, Equipment Parts",FALSE,
"Spec 1, Roofing Services",FALSE,
Data Processor,FALSE,
"Custodian 2, Head",FALSE,
Registrar,FALSE,
"Tech 1, Micrographics",FALSE,
"Spec, FTE",FALSE,
"Mechanic 1, Ref, AC",FALSE,
Crew Leader 3,FALSE,
"Mgr, 2",FALSE,
"Analyst, Geo Info Sys Research",FALSE,
"Coach, Science",TRUE,
"Tech, Sr, Micrographics",FALSE,
Printer 2,FALSE,
Storekeeper 2,FALSE,
"Tech, Logistics",FALSE,
"Tech, Communications",FALSE,
"Operator 2, Transport Equip",FALSE,
"Clerk, Maint Unit",FALSE,
Secretary 2,FALSE,
Clerk 3,FALSE,
"Clerk 1, Accounting",FALSE,
"Spec 2, Upholstery",FALSE,
"Spec, Sr Admin Services",FALSE,
"Spec 1, Accounts Payable",FALSE,
"Inspector, Backflow",FALSE,
"Rep, Services",FALSE,
"Tech, Safety",FALSE,
"Officer, Truancy Prevent",FALSE,
"Custodian 1, Head",FALSE,
"Bookkeeper 2, School",FALSE,
Carpenter 3,FALSE,
"Asst, Health",FALSE,
"Spec, Admin Services",FALSE,
Chinese,TRUE,
"Officer 2, Community School",FALSE,
"Operator 1, Special Equip",FALSE,
"Operator 1, Transport Equip.",FALSE,
Clerk 2,FALSE,
Asst Tchr-BD Lvl,FALSE,
"Spec 1, Leave",FALSE,
"Operator, Switchboard",FALSE,
"Bus Driver, Lead Magnet Ramp",FALSE,
Home Education Liaison,FALSE,
"Spec, Auto Equip Serv",FALSE,
"Tech, Purchasing",FALSE,
"Tech, Sr Communication",FALSE,
"Tech, Restoration",FALSE,
"Trds Wker 6, Multi",FALSE,
Secretary 1,FALSE,
"Crew Leader, Janitor",FALSE,
Asst Tchr-BD Lvl ClsSuprt SA,FALSE,
Asst Tchr-BD Lvl LabMgr Impact,FALSE,
Storekeeper 1,FALSE,
"Operator 2, Special Equip",FALSE,
"Crew Leader, Landscape",FALSE,
SLH_EIE_Level3,FALSE,
"Asst, Kindgten",FALSE,
Custodian,FALSE,
Laborer,FALSE,
"Trainee, Custodian",FALSE,
"Trds Wker, Multi",FALSE,
"Tech, Support School Rep",FALSE,
"Spec, Braille",FALSE,
"Spec 3, Central Place",FALSE,
"Tech, Hearing",FALSE,
"Coordinator, HVAC Repair",FALSE,
"Clerk, Personnel Records",FALSE,
"Operator, Computer",FALSE,
"Tech, Pest Control",FALSE,
Asst Tchr-AA Lvl,FALSE,
Asst Tchr-AA Lvl LabMgr Impact,FALSE,
"Aide, Vocational",FALSE,
"Maintenance 3, Utilities",FALSE,
Welder,FALSE,
"Spec, Wheel Tire",FALSE,
"Asst, Kindgten AALevel",FALSE,
SLH_EIE_Level2,FALSE,
"Bus Driver, Site Based",FALSE,
"Instructor, ECLC",FALSE,
"Asst, Payroll",FALSE,
Asst Tchr-BD Lvl ClsSuprt,FALSE,
"Bookkeeper 1, School",FALSE,
"Helper, Trades",FALSE,
"Trainee, Clerical",FALSE,
Bus Driver,FALSE,
"Spec 1, Auto Body Rep",FALSE,
"Recruiter, Migrant",FALSE,
"Receptionist, Sr",FALSE,
"Trds Wker 2, Multi",FALSE,
"Mechanic 1, Garden Equip",FALSE,
"Clerk, Safety",FALSE,
"Operator 2, Data Preparation",FALSE,
"Asst, KindgtenBDLevel",FALSE,
"Coordinator, Stdt Nutr Prodtn",FALSE,
"Spec 1, Upholstery",FALSE,
"Clerk, Personnel",FALSE,
Clerk 1,FALSE,
"Clerk, Micrographics",FALSE,
"Para 2, ESE",FALSE,
"Aide, Bilingual Spanish",FALSE,
"Aide, Bilingual Vietnamese",FALSE,
"Represent 1, Client Services",FALSE,
"Para 1, ESE",FALSE,
"Aide, Speech Record",FALSE,
"Aide, Headstart",FALSE,
"Aide, Teacher-Adult",FALSE,
"Aide, Parent Liaison",FALSE,
"Aide, Title I",FALSE,
"Para 3, ESE",FALSE,
"Asst 7hr, Stdt Nutr",FALSE,
"Advisor, Voc Placement",FALSE,
"Mgr, Stdt Nutr Intern",FALSE,
"Aide, SLHEduInterp",FALSE,
"Para, Advanced Kind",FALSE,
"Aide, Bilingual-Hait Cre Fren",FALSE,
Grade 6 Science,TRUE,
"Aide, ECLC",FALSE,
"Attendant, Bus Rider",FALSE,
"Aide, Bilingual Korean",FALSE,
"Aide, Health Transp",FALSE,
"Asst 6 hr, Stdt Nutr",FALSE,
"Aide, ESE Unique Needs",FALSE,
"Aide, ATOSS",FALSE,
"Aide, Alternative Ed",FALSE,
Custodian 4 hr,FALSE,
"Asst 5 hr, StdtNutr",FALSE,
Pre-K ESE,TRUE,
Access Points,FALSE,
Behavior Support,FALSE,
"Aide, ESE 1:1",FALSE,
Peer Counseling,TRUE,
"Aide, Bilingual Arabic",FALSE,
"Mgr, SNS",FALSE,
"Spec, State Ed Visual Impaired",FALSE,
"Investigator, Compliance",FALSE,
"Spec, Business Process",FALSE,
Creative Lead,FALSE,
"Supv, Safety and Training",FALSE,
"Administrator, Project",FALSE,
"Technical Coord, Programming",FALSE,
"Asst Mgr, Sponsorships",FALSE,
"Dept Mgr, Content Development",FALSE,
"Para 4, ESE",FALSE,
"Dept Mgr, Strg Init CommMkting",FALSE,
"Driver, Stdt Nutr Svs",FALSE,
German,TRUE,
"Clinician, Dist. Mental Health",FALSE,
"Rep, Operations",FALSE,
"Dept Mgr, Fed Prog Evaluation",FALSE,
"Investigator, Sr Compliance",FALSE,
"Supv, Communications Tech",FALSE,
"Analyst 1, Accounts Payable",FALSE,
"Liaison, FL Tchr of the Yr",FALSE,
"Supv, Clinical Care",FALSE,
"Supv, Emotional Wellness",FALSE,
"Res Tchr, Site, Tech",FALSE,
"Mgr, Eval and  Compensation",FALSE,
Supv Assessment,FALSE,
"Producer,Access.Media FIMC-VI",FALSE,
"Dept Mgr, Communications",FALSE,
"Dept Mgr, Oper Stdnt Nutr Svcs",FALSE,
"Tech, Lead Pest Control",FALSE,
"Spec, Braille Assessment",FALSE,
"Inspectr, Asst Mgr",FALSE,
"Major, Security & Emergcy Mgt",FALSE,
"Counselor, Elem School",TRUE,
"Director, Executive",FALSE,
"Worker, Access. Media FIMC-VI",FALSE,
"Nurse, Registered",FALSE,
"Counselor, High School",TRUE,
