district_name,school_name,district_number,school_number,number_of_students,ela_level1_num,ela_level2_num,ela_level3_num,ela_level4_num,ela_level5_num,ela_level1,ela_level2,ela_level3,ela_level4,ela_level5
BREVARD,PINEAPPLE COVE CLASSICAL ACADEMY W MELBOURNE,05,6554,519,73,110,145,126,65,0.14065510597302505,0.2119460500963391,0.279383429672447,0.24277456647398843,0.1252408477842004
BREVARD,PINECREST ACADEMY SPACE COAST,05,6558,431,54,87,107,115,67,0.12529002320185614,0.20185614849187936,0.2482598607888631,0.2668213457076566,0.1554524361948956
BREVARD,PINEWOOD ELEMENTARY SCHOOL,05,0181,248,48,35,70,72,23,0.1935483870967742,0.14112903225806453,0.28225806451612906,0.2903225806451613,0.09274193548387097
BREVARD,PORT MALABAR ELEMENTARY SCHOOL,05,2061,333,77,77,97,56,26,0.23123123123123124,0.23123123123123124,0.2912912912912913,0.16816816816816818,0.07807807807807808
BREVARD,QUEST ELEMENTARY SCHOOL,05,3151,435,43,68,92,147,85,0.09885057471264368,0.15632183908045977,0.21149425287356322,0.33793103448275863,0.19540229885057472
BREVARD,RALPH M WILLIAMS JUNIOR ELEMENTARY SCHOOL,05,1151,243,56,42,69,51,26,0.23045267489711935,0.1728395061728395,0.2839506172839506,0.20987654320987653,0.10699588477366255
BREVARD,RIVIERA ELEMENTARY SCHOOL,05,2171,345,83,78,92,57,33,0.24057971014492754,0.22608695652173913,0.26666666666666666,0.16521739130434782,0.09565217391304348
BREVARD,ROBERT L. STEVENSON ELEMENTARY SCHOOL,05,4071,285,5,24,65,107,83,0.017543859649122806,0.08421052631578947,0.22807017543859648,0.37543859649122807,0.2912280701754386
BREVARD,ROCKLEDGE SENIOR HIGH SCHOOL,05,1011,752,255,162,113,139,82,0.3390957446808511,0.2154255319148936,0.1502659574468085,0.1848404255319149,0.10904255319148937
BREVARD,RONALD MCNAIR MAGNET MIDDLE SCHOOL,05,1081,329,117,90,61,39,21,0.3556231003039514,0.2735562310030395,0.18541033434650456,0.11854103343465046,0.06382978723404255
BREVARD,ROY ALLEN ELEMENTARY SCHOOL,05,3101,345,79,84,88,66,28,0.2289855072463768,0.24347826086956523,0.25507246376811593,0.19130434782608696,0.08115942028985507
BREVARD,ROYAL PALM CHARTER SCHOOL,05,6509,215,56,60,62,30,7,0.26046511627906976,0.27906976744186046,0.28837209302325584,0.13953488372093023,0.03255813953488372
BREVARD,SABAL ELEMENTARY SCHOOL,05,3071,261,96,51,68,33,13,0.367816091954023,0.19540229885057472,0.26053639846743293,0.12643678160919541,0.04980842911877394
BREVARD,SATELLITE SENIOR HIGH SCHOOL,05,6011,704,92,127,141,183,162,0.13068181818181818,0.18039772727272727,0.2002840909090909,0.2599431818181818,0.23011363636363635
